date,city_zone,traffic_density,car_count,bus_count,truck_count,bike_count,temperature,humidity,wind_speed,pm25,no2,co
2025-01-01,East,274,291,31,60,45,34.02559977357497,87.77561251425479,18.86151675489415,151.9270117011881,71.66178904373936,3.300861387046985
2025-01-02,West,434,208,33,38,174,30.655508040785385,59.01273880319548,4.8138542366501,250.05833135893207,52.326654909209125,4.015948350862873
2025-01-03,North,452,211,36,87,180,18.28112194205969,78.35955298650948,2.4300275260183613,148.5942552084999,46.306885624393225,3.102342797391623
2025-01-04,East,175,88,23,49,55,15.813154487281299,63.01359252937571,3.9494097971987463,120.1835142911237,37.24733713868207,1.1613321931469436
2025-01-05,East,179,297,25,50,115,38.02119619539217,32.60475197128915,17.73849800418539,158.37948523008396,18.070661507863484,4.150056964700619
2025-01-06,West,102,266,9,95,164,30.41625786301845,67.98908253564134,12.916216253104121,251.90979068242115,57.94271703685987,3.361796182236778
2025-01-07,North,221,95,22,20,43,34.91343227440441,87.08420053239942,5.718135784783202,113.85825326384436,47.83467689830965,2.2467456775714796
2025-01-08,North,267,173,32,32,108,27.038058787813753,66.09670920877987,16.318938779372345,68.65324607800827,145.29843402129703,3.5335863299122834
2025-01-09,East,209,163,46,10,146,17.93270472405986,79.15133156560742,17.22739992726872,219.3639256926186,88.07923567500615,1.6695724065927477
2025-01-10,South,247,105,26,55,36,18.129644805063762,83.05238780090447,16.930286773805562,251.2738995582629,58.618785464271056,2.053364938223947
2025-01-11,East,465,204,25,30,166,32.13913218072429,43.68478631693595,18.37853067279109,48.17849398658933,91.26546413911744,4.628686294093956
2025-01-12,East,296,239,10,99,144,25.757647372486566,42.7226903944936,5.044820403467232,87.16475157166452,29.48753818839737,1.8072702755213919
2025-01-13,East,373,88,5,45,101,20.013118167508416,66.6588593310595,15.100838574925566,59.75215713307829,72.16612488830842,2.6149472067107147
2025-01-14,East,488,66,9,63,88,27.289863668535922,54.66170818840229,9.2107899454828,117.42359524300666,97.67280499894893,4.505635118282066
2025-01-15,West,252,113,45,96,111,16.605223426878354,80.39167817200322,16.83997105780123,146.09827409351556,78.44569645094319,3.6847460762038735
2025-01-16,North,233,257,16,66,145,29.549285047859968,84.00138740388067,14.569813543232264,229.67137434972582,66.24903209160539,0.7799145177411624
2025-01-17,West,172,223,30,10,196,21.724835110877443,51.20528275816309,15.528948929994492,202.32132376686874,149.13877444595775,1.1628636992553665
2025-01-18,West,450,237,38,72,175,34.93897751592971,44.21223353846892,13.12323675362143,193.85999889396072,133.24406670084977,0.5352871584736256
2025-01-19,West,304,58,18,63,132,22.759048973089342,76.83153091463171,3.5485753893941374,118.66498505070324,97.27683414232162,3.3391480560312354
2025-01-20,East,343,119,30,64,46,26.38050372704503,46.48836213288817,10.900538377938766,255.6053148637328,89.71283056551958,2.5145304143468823
2025-01-21,South,329,273,49,49,43,15.290513497702516,79.3568591108207,19.693394790490164,151.96040687148607,96.89246717544177,1.1042368290602398
